biblioteca,departamento,nro_registro,domicilio,localidad,provincia,lat,long
Bib.Pop. PABLITO GONZALEZ,Godoy Cruz,4103,Velez Sarfield  y Puerto Argentino  La Gloria,Godoy Cruz,Mendoza,-32.95855,-68.832517
Bib.Pop. Casa por la memoria y la cultura popular,Godoy Cruz,3932,Dr. Luis Agote 541 ,Godoy Cruz,Mendoza,-32.932096,-68.838676
Bib.Pop. Presbítero P. C. Arce,Godoy Cruz,0665,Penitentes 1972 ,Godoy Cruz,Mendoza,-32.94225,-68.8231
Bib.Pop. Escritores Alvearenses,Gral Alvear,3266,"Calle ""L""  s/n  ",El Desvío,Mendoza,-32.890182,-68.844048
Bib.Pop. Antonio Dimarco,Gral Alvear,2188,Humberto Artaza 361 ,Bowen,Mendoza,-34.999733,-67.512317
Bib.Pop. D.F.Sarmiento,Gral Alvear,2131,Dr. Ricardo Piérola 267 ,General Alvear,Mendoza,-34.975867,-67.69285
Bib. Pop. Jesús Nazareno,Guaymallen,3497,Carrizal 5997 Favaro MB.lote 1,Jesús Nazareno,Mendoza,-32.933331,-68.76667
Bib.Pop. Daniel Talquenca de Guaymallén,Guaymallen,4314,Dorrego 2809 BAncario 6 de noviembre,Dorrego,Mendoza,-32.92355,-68.832067
Bib. Pop. Ingeniero Giagnoni,Junin,3550,Santos Lugares 36 ,Algarrobo grande,Mendoza,-33.148499,-68.486031
Bib.Pop. Pedro José Bustos,Junin,3057,Fray Luis Beltran 167 ,Junín,Mendoza,-33.1448,-68.487333
Bib.Pop. Palabras del corazón,Las Heras,4049,San Juan 2305 Barrio Pellicer,Las Heras,Mendoza,-32.8428,-68.80505
Bib.Pop. Escritores Mendocinos,Las Heras,3720,Democracia y Bv.Los Ceibos - Ujemvi  Ujemvi,El Plumerillo,Mendoza,-32.831944,-68.792778
Bib. Pop. Mirta Vivante,Las Heras,3486,M B C 16  U. Latinoamerica,El Resguardo,Mendoza,-32.830433,-68.819717
Bib.Pop. del Saber del Pueblo y su Cultura,Las Heras,4255,Sargento Cabral 2725 ,Panquehua,Mendoza,-32.833328,-68.833351
Bib.Pop. Libros Abiertos para la sociedad,Las Heras,4310,San Miguel esq. Lemos W.  ,Las Heras,Mendoza,-32.889883,-68.8445
Bib.Pop. José A. Pujadas,Lavalle,2894,Fray Luis Beltran 55 ,Villa Tulumaya,Mendoza,-32.716667,-68.566666
Bib.Pop. Tomás Godoy Cruz,Lavalle,1256,Dr. Moreno S/N  ,Costa de Araujo,Mendoza,-32.7607,-68.394517
Bib.Pop. Armando Tejada Gómez,Lujan De Cuyo,4138,Camino del Puma  ,Villa Potrerillos,Mendoza,-32.950741,-69.205627
Bib.Pop. Las Compuertas,Lujan De Cuyo,4159,Ruta Panamericana Nº 82 Km 21 Los Montañeses,Las Compuertas,Mendoza,-33.033329,-68.98333
Bib. Pop. Chacras de Coria,Lujan De Cuyo,3725,Viamonte 5191 ,Chacras de Coria,Mendoza,-32.9924,-68.8868
Bib.Pop.Mun. Juan Bautista Alberdi,Lujan De Cuyo,2875,República del Líbano 418 ,Luján de Cuyo,Mendoza,-33.039033,-68.8859
Bib.Pop. Virgen de la Carrodilla,Lujan De Cuyo,4315,Manuel A. Sáenz 8251 Los Olivos,La Carrodilla,Mendoza,-32.963383,-68.8435
Bib. Pop. Benito Juárez,Lujan De Cuyo,4325,J.F. Cobos s/n  IV Perdriel,Perdriel,Mendoza,-33.06605,-68.8829
